ordinal,frameId,frameName,nodeId,nodeName,adjacentText,ancestorNames,ancestorIds,family,icon,style,fills,svg,geometryKey,width,height,colors
2926,ur8ZK,S02. Project settings / Agents · Desktop light,Kpz9R,Model dropdown,Native agent default,S02. Project settings / Agents · Desktop light > Page workspace > Page content > Settings navigation and content > Settings interior > Default model · Claude Code > Default model · Claude Code control,ur8ZK/DPRgD/g4ojzC/qR07M/uAyNR/o7F7sN/wnZf8,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#667084
2927,w1inBF,S03. Project settings / Agent config · Desktop light,Miq1Y,Search,Search… ⌘K,S03. Project settings / Agent config · Desktop light > Shared project navigation > Search tasks,w1inBF/iCPIx/zmwW1,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3,16px,16px,#667084
2928,w1inBF,S03. Project settings / Agent config · Desktop light,Zl85A,New task icon,New task,S03. Project settings / Agent config · Desktop light > Shared project navigation > Workspace links > New task,w1inBF/iCPIx/KZzFc/BmQeP,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254,18px,18px,#667084
2929,w1inBF,S03. Project settings / Agent config · Desktop light,O5FimD,Project folder,iac main,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,w1inBF/iCPIx/KQyUm/v1fIi/v4agI,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#4B5566,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#4B5566
2930,w1inBF,S03. Project settings / Agent config · Desktop light,IsuOX,Expand project,iac main,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,w1inBF/iCPIx/KQyUm/v1fIi/v4agI,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#4B5566
2931,w1inBF,S03. Project settings / Agent config · Desktop light,a5Y7JP,New task icon,Tasks,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Tasks,w1inBF/iCPIx/KQyUm/v1fIi/s5hjd/VCFvJ,lucide,list-todo,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-list-todo-90fea884f26c.svg,lucide/list-todo/90fea884f26c,15px,15px,#667084
2932,w1inBF,S03. Project settings / Agent config · Desktop light,hHOuY,New task icon,Git,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Git,w1inBF/iCPIx/KQyUm/v1fIi/s5hjd/Kc4cv,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96,15px,15px,#667084
2933,w1inBF,S03. Project settings / Agent config · Desktop light,P2vbl,New task icon,GitHub,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > GitHub,w1inBF/iCPIx/KQyUm/v1fIi/s5hjd/Mu3ek,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86,15px,15px,#667084
2934,w1inBF,S03. Project settings / Agent config · Desktop light,S7MZN4,New task icon,Skills,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Skills,w1inBF/iCPIx/KQyUm/v1fIi/s5hjd/jFls7,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,15px,15px,#667084
2935,w1inBF,S03. Project settings / Agent config · Desktop light,v2mWUn,New task icon,Workflows,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Workflows,w1inBF/iCPIx/KQyUm/v1fIi/s5hjd/a9yTex,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44,15px,15px,#667084
2936,w1inBF,S03. Project settings / Agent config · Desktop light,i0uuB,New task icon,Settings,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Settings,w1inBF/iCPIx/KQyUm/v1fIi/s5hjd/vmAq6,lucide,settings,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-settings-6f5239928ba5.svg,lucide/settings/6f5239928ba5,15px,15px,#667084
2937,w1inBF,S03. Project settings / Agent config · Desktop light,tpR2o,Reference status glyph,#217,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Optional PR or issue,w1inBF/iCPIx/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/J8NKlV,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#6D28D9
2938,w1inBF,S03. Project settings / Agent config · Desktop light,pxKG3,Reference status glyph,#214,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Linked issue #214,w1inBF/iCPIx/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/nEshW,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#2366B1,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#2366B1
2939,w1inBF,S03. Project settings / Agent config · Desktop light,k0FH3A,Pin or unpin session,Fixing finalization failure #217 #214,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session,w1inBF/iCPIx/KQyUm/v1fIi/rPX7U/jJ7oW,lucide,pin,box-sizing: border-box; flex-shrink: 0; height: 18px; position: relative; width: 18px; z-index: 1,#6D28D9,icons/lucide-pin-497f00cc15b7.svg,lucide/pin/497f00cc15b7,18px,18px,#6D28D9
2940,w1inBF,S03. Project settings / Agent config · Desktop light,owP9r,Reference status glyph,#217,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to audit > Worker hierarchy guide > Audit worker > Session labels > Optional tracker reference line > Optional PR or issue,w1inBF/iCPIx/KQyUm/v1fIi/rPX7U/iIdSn/Cp7J6/bJSQJ/Ewjd8/wK28r/aiwkj,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#6D28D9
2941,w1inBF,S03. Project settings / Agent config · Desktop light,skK4N,Reference status glyph,#214,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example > Session labels > Optional tracker reference line > Optional PR or issue,w1inBF/iCPIx/KQyUm/v1fIi/rPX7U/ueKrJ/tzf9H/BlJcL/lBd6J/u4ALzs/P799t,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#2366B1,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#2366B1
2942,w1inBF,S03. Project settings / Agent config · Desktop light,guVeT,Project folder,website feature/accessibility-audit,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > website expanded,w1inBF/iCPIx/KQyUm/v1fIi/iiyFT,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#4B5566,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#4B5566
2943,w1inBF,S03. Project settings / Agent config · Desktop light,h5Hh5,Expand project,website feature/accessibility-audit,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > website expanded,w1inBF/iCPIx/KQyUm/v1fIi/iiyFT,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#4B5566
2944,w1inBF,S03. Project settings / Agent config · Desktop light,ek9pr,Reference status glyph,#91,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Website project sessions > Watch preview deployment > Session labels > Optional tracker reference line > Optional PR or issue,w1inBF/iCPIx/KQyUm/v1fIi/Qvl1P/VCWtM/reZJA/oNbYA/N0SF1t,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f,12px,12px,#6D28D9
2945,w1inBF,S03. Project settings / Agent config · Desktop light,ek9pr,Reference status glyph,#298,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Website project sessions > Replace legacy carousel > Session labels > Optional tracker reference line > Optional PR or issue,w1inBF/iCPIx/KQyUm/v1fIi/Qvl1P/EZIFQ/reZJA/oNbYA/N0SF1t,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#2366B1,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#2366B1
2946,w1inBF,S03. Project settings / Agent config · Desktop light,M4JTn,Project folder,earwitness,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Folded project · earwitness,w1inBF/iCPIx/KQyUm/v1fIi/joqG3,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#4B5566,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,18px,18px,#4B5566
2947,w1inBF,S03. Project settings / Agent config · Desktop light,MCh44,Expand project,earwitness,S03. Project settings / Agent config · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Folded project · earwitness,w1inBF/iCPIx/KQyUm/v1fIi/joqG3,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0,16px,16px,#4B5566
2948,w1inBF,S03. Project settings / Agent config · Desktop light,aVc2I,All tasks icon,,S03. Project settings / Agent config · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > All tasks button,w1inBF/iCPIx/um4Dd/IqgWF/RsiQK,lucide,layers,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-layers-bcddb17470e3.svg,lucide/layers/bcddb17470e3,17px,17px,#4B5566
2949,w1inBF,S03. Project settings / Agent config · Desktop light,P71NN,Add project icon,,S03. Project settings / Agent config · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > Add project button,w1inBF/iCPIx/um4Dd/IqgWF/ZTqX3,lucide,folder-plus,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-folder-plus-87f0433c6541.svg,lucide/folder-plus/87f0433c6541,17px,17px,#4B5566
2950,w1inBF,S03. Project settings / Agent config · Desktop light,fabdc,Global settings icon,,S03. Project settings / Agent config · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > Global settings button,w1inBF/iCPIx/um4Dd/IqgWF/y8S6RQ,lucide,settings-2,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-settings-2-1cc665612c4e.svg,lucide/settings-2/1cc665612c4e,17px,17px,#4B5566
2951,w1inBF,S03. Project settings / Agent config · Desktop light,uGBu4,Tools icon,,S03. Project settings / Agent config · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,w1inBF/iCPIx/um4Dd/IqgWF/KjyBP,lucide,wrench,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-wrench-c007132f26fe.svg,lucide/wrench/c007132f26fe,17px,17px,#4B5566
2952,w1inBF,S03. Project settings / Agent config · Desktop light,kDEIk,Tools menu chevron,,S03. Project settings / Agent config · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,w1inBF/iCPIx/um4Dd/IqgWF/KjyBP,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,10px,10px,#667084
2953,w1inBF,S03. Project settings / Agent config · Desktop light,n1KYP,Theme icon,,S03. Project settings / Agent config · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > Theme button,w1inBF/iCPIx/um4Dd/IqgWF/VfHlv,lucide,sun-moon,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-sun-moon-e715c2aaac76.svg,lucide/sun-moon/e715c2aaac76,17px,17px,#4B5566
2954,w1inBF,S03. Project settings / Agent config · Desktop light,qbaqt,Project folder,cezar / Project settings main,S03. Project settings / Agent config · Desktop light > Page workspace > Shared page breadcrumb,w1inBF/C9rVD/K1QAYX,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#667084
2955,w1inBF,S03. Project settings / Agent config · Desktop light,I4HOW,Isolated worktree indicator,cezar / Project settings main,S03. Project settings / Agent config · Desktop light > Page workspace > Shared page breadcrumb,w1inBF/C9rVD/K1QAYX,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#6D28D9,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94,16px,16px,#6D28D9
2956,LmL0v,S04. Project settings / Worktrees · Desktop light,Miq1Y,Search,Search… ⌘K,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Search tasks,LmL0v/mZCI3/zmwW1,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3,16px,16px,#667084
2957,LmL0v,S04. Project settings / Worktrees · Desktop light,Zl85A,New task icon,New task,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Workspace links > New task,LmL0v/mZCI3/KZzFc/BmQeP,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254,18px,18px,#667084
2958,LmL0v,S04. Project settings / Worktrees · Desktop light,O5FimD,Project folder,iac main,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,LmL0v/mZCI3/KQyUm/v1fIi/v4agI,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#4B5566,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#4B5566
2959,LmL0v,S04. Project settings / Worktrees · Desktop light,IsuOX,Expand project,iac main,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,LmL0v/mZCI3/KQyUm/v1fIi/v4agI,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#4B5566
2960,LmL0v,S04. Project settings / Worktrees · Desktop light,a5Y7JP,New task icon,Tasks,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Tasks,LmL0v/mZCI3/KQyUm/v1fIi/s5hjd/VCFvJ,lucide,list-todo,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-list-todo-90fea884f26c.svg,lucide/list-todo/90fea884f26c,15px,15px,#667084
2961,LmL0v,S04. Project settings / Worktrees · Desktop light,hHOuY,New task icon,Git,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Git,LmL0v/mZCI3/KQyUm/v1fIi/s5hjd/Kc4cv,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96,15px,15px,#667084
2962,LmL0v,S04. Project settings / Worktrees · Desktop light,P2vbl,New task icon,GitHub,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > GitHub,LmL0v/mZCI3/KQyUm/v1fIi/s5hjd/Mu3ek,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86,15px,15px,#667084
2963,LmL0v,S04. Project settings / Worktrees · Desktop light,S7MZN4,New task icon,Skills,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Skills,LmL0v/mZCI3/KQyUm/v1fIi/s5hjd/jFls7,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,15px,15px,#667084
2964,LmL0v,S04. Project settings / Worktrees · Desktop light,v2mWUn,New task icon,Workflows,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Workflows,LmL0v/mZCI3/KQyUm/v1fIi/s5hjd/a9yTex,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44,15px,15px,#667084
2965,LmL0v,S04. Project settings / Worktrees · Desktop light,i0uuB,New task icon,Settings,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Settings,LmL0v/mZCI3/KQyUm/v1fIi/s5hjd/vmAq6,lucide,settings,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-settings-6f5239928ba5.svg,lucide/settings/6f5239928ba5,15px,15px,#667084
2966,LmL0v,S04. Project settings / Worktrees · Desktop light,tpR2o,Reference status glyph,#217,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Optional PR or issue,LmL0v/mZCI3/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/J8NKlV,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#6D28D9
2967,LmL0v,S04. Project settings / Worktrees · Desktop light,pxKG3,Reference status glyph,#214,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Linked issue #214,LmL0v/mZCI3/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/nEshW,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#2366B1,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#2366B1
2968,LmL0v,S04. Project settings / Worktrees · Desktop light,k0FH3A,Pin or unpin session,Fixing finalization failure #217 #214,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session,LmL0v/mZCI3/KQyUm/v1fIi/rPX7U/jJ7oW,lucide,pin,box-sizing: border-box; flex-shrink: 0; height: 18px; position: relative; width: 18px; z-index: 1,#6D28D9,icons/lucide-pin-497f00cc15b7.svg,lucide/pin/497f00cc15b7,18px,18px,#6D28D9
2969,LmL0v,S04. Project settings / Worktrees · Desktop light,owP9r,Reference status glyph,#217,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to audit > Worker hierarchy guide > Audit worker > Session labels > Optional tracker reference line > Optional PR or issue,LmL0v/mZCI3/KQyUm/v1fIi/rPX7U/iIdSn/Cp7J6/bJSQJ/Ewjd8/wK28r/aiwkj,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#6D28D9
2970,LmL0v,S04. Project settings / Worktrees · Desktop light,skK4N,Reference status glyph,#214,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example > Session labels > Optional tracker reference line > Optional PR or issue,LmL0v/mZCI3/KQyUm/v1fIi/rPX7U/ueKrJ/tzf9H/BlJcL/lBd6J/u4ALzs/P799t,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#2366B1,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#2366B1
2971,LmL0v,S04. Project settings / Worktrees · Desktop light,guVeT,Project folder,website feature/accessibility-audit,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > website expanded,LmL0v/mZCI3/KQyUm/v1fIi/iiyFT,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#4B5566,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#4B5566
2972,LmL0v,S04. Project settings / Worktrees · Desktop light,h5Hh5,Expand project,website feature/accessibility-audit,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > website expanded,LmL0v/mZCI3/KQyUm/v1fIi/iiyFT,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#4B5566
2973,LmL0v,S04. Project settings / Worktrees · Desktop light,ek9pr,Reference status glyph,#91,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Website project sessions > Watch preview deployment > Session labels > Optional tracker reference line > Optional PR or issue,LmL0v/mZCI3/KQyUm/v1fIi/Qvl1P/VCWtM/reZJA/oNbYA/N0SF1t,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f,12px,12px,#6D28D9
2974,LmL0v,S04. Project settings / Worktrees · Desktop light,ek9pr,Reference status glyph,#298,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Website project sessions > Replace legacy carousel > Session labels > Optional tracker reference line > Optional PR or issue,LmL0v/mZCI3/KQyUm/v1fIi/Qvl1P/EZIFQ/reZJA/oNbYA/N0SF1t,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#2366B1,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#2366B1
2975,LmL0v,S04. Project settings / Worktrees · Desktop light,M4JTn,Project folder,earwitness,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Folded project · earwitness,LmL0v/mZCI3/KQyUm/v1fIi/joqG3,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#4B5566,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,18px,18px,#4B5566
2976,LmL0v,S04. Project settings / Worktrees · Desktop light,MCh44,Expand project,earwitness,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Folded project · earwitness,LmL0v/mZCI3/KQyUm/v1fIi/joqG3,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0,16px,16px,#4B5566
2977,LmL0v,S04. Project settings / Worktrees · Desktop light,aVc2I,All tasks icon,,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > All tasks button,LmL0v/mZCI3/um4Dd/IqgWF/RsiQK,lucide,layers,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-layers-bcddb17470e3.svg,lucide/layers/bcddb17470e3,17px,17px,#4B5566
2978,LmL0v,S04. Project settings / Worktrees · Desktop light,P71NN,Add project icon,,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > Add project button,LmL0v/mZCI3/um4Dd/IqgWF/ZTqX3,lucide,folder-plus,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-folder-plus-87f0433c6541.svg,lucide/folder-plus/87f0433c6541,17px,17px,#4B5566
2979,LmL0v,S04. Project settings / Worktrees · Desktop light,fabdc,Global settings icon,,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > Global settings button,LmL0v/mZCI3/um4Dd/IqgWF/y8S6RQ,lucide,settings-2,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-settings-2-1cc665612c4e.svg,lucide/settings-2/1cc665612c4e,17px,17px,#4B5566
2980,LmL0v,S04. Project settings / Worktrees · Desktop light,uGBu4,Tools icon,,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,LmL0v/mZCI3/um4Dd/IqgWF/KjyBP,lucide,wrench,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-wrench-c007132f26fe.svg,lucide/wrench/c007132f26fe,17px,17px,#4B5566
2981,LmL0v,S04. Project settings / Worktrees · Desktop light,kDEIk,Tools menu chevron,,S04. Project settings / Worktrees · Desktop light > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,LmL0v/mZCI3/um4Dd/IqgWF/KjyBP,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,10px,10px,#667084
